Store,Date,Year,Quarter,Month,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,Is_Holiday,Size,Total_Markdown,Has_Markdown,Size_Category
1,2010-02-05,2010,1,2,1643690.9,42.31,2.572,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-02-12,2010,1,2,1641957.44,38.51,2.548,,,,,,True,151315,0.0,False,Between 150k and 200k
1,2010-02-19,2010,1,2,1611968.17,39.93,2.514,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-02-26,2010,1,2,1409727.59,46.63,2.561,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-03-05,2010,1,3,1554806.68,46.5,2.625,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-03-12,2010,1,3,1439541.59,57.79,2.667,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-03-19,2010,1,3,1472515.79,54.58,2.72,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-03-26,2010,1,3,1404429.92,51.45,2.732,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-04-02,2010,2,4,1594968.28,62.27,2.719,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-04-09,2010,2,4,1545418.53,65.86,2.77,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-04-16,2010,2,4,1466058.28,66.32,2.808,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-04-23,2010,2,4,1391256.12,64.84,2.795,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-04-30,2010,2,4,1425100.71,67.41,2.78,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-05-07,2010,2,5,1603955.1199999999,72.55,2.835,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-05-14,2010,2,5,1494251.5,74.78,2.854,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-05-21,2010,2,5,1399662.07,76.44,2.826,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-05-28,2010,2,5,1432069.95,80.44,2.759,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-06-04,2010,2,6,1615524.71,80.69,2.705,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-06-11,2010,2,6,1542561.09,80.43,2.668,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-06-18,2010,2,6,1503284.06,84.11,2.637,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-06-25,2010,2,6,1422711.6,84.34,2.653,,,,,,False,151315,0.0,False,Between 150k and 200k
1,2010-07-02,2010,3,7,1492418.1400000001,80.91,2.669,,,,,,False,151315,0.0,False,Between 150k and 200k
